Geneid	/home/jvtars/ipe/bam_files/SRR11144483.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144484.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144485.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144486.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144481.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144482.sorted.bam
CDL12_00001	0	0	0	0	0	0
CDL12_00002	0	0	0	0	0	0
CDL12_00003	394	541	1562	0	1371	6
CDL12_00004	16	0	41	4	114	24
CDL12_00005	19	4	10	22	22	15
CDL12_00006	4	1	3	10	40	18
CDL12_00007	0	0	2	0	5	4
CDL12_00008	25	8	21	44	8	9
CDL12_00009	0	0	8	0	0	0
CDL12_00010	23	6	42	157	16	142
CDL12_00011	0	0	0	0	0	0
CDL12_00012	84	433	303	55	747	498
CDL12_00013	0	1	0	0	0	1
CDL12_00014	2	4	5	2	8	57
CDL12_00015	0	0	0	0	0	0
CDL12_00016	245	367	688	540	916	410
CDL12_00017	133	116	273	203	75	79
CDL12_00018	1	0	0	0	0	0
CDL12_00019	0	0	0	0	0	0
CDL12_00020	6	0	0	2	2	9
CDL12_00021	760	1021	858	1111	2481	1531
CDL12_00022	195	96	14	0	8	7
CDL12_00023	649	760	487	324	1516	795
CDL12_00024	175	206	172	99	384	219
CDL12_00025	0	0	37	0	0	23
CDL12_00026	0	0	0	0	0	0
CDL12_00027	0	0	0	0	0	0
CDL12_00028	2	2	1	0	28	3
CDL12_00029	0	0	0	0	0	0
CDL12_00030	101	0	0	391	0	0
CDL12_00031	11	0	0	6	0	0
CDL12_00032	0	8	0	0	0	2
CDL12_00033	199	204	214	260	590	332
CDL12_00034	426	333	386	452	1281	434
CDL12_00035	0	12	23	0	2	0
CDL12_00036	405	129	42	178	444	190
CDL12_00037	29	43	2	12	53	0
CDL12_00038	0	0	0	0	1	0
CDL12_00039	3	0	0	0	0	0
CDL12_00040	339	140	517	6	110	77
CDL12_00041	100	21	32	71	8	168
CDL12_00042	1196	113	36	2323	128	104
CDL12_00043	270	415	196	1314	706	485
CDL12_00044	211	183	9	870	24	34
CDL12_00045	9	0	3	137	6	0
CDL12_00046	0	29	36	18	40	72
CDL12_00047	407	278	223	1845	239	349
CDL12_00048	24	7	33	69	14	117
CDL12_00049	608	38	62	1542	28	13
CDL12_00051	54	33	86	783	60	73
CDL12_00052	52	19	0	57	29	11
CDL12_00053	0	5	19	0	123	4
CDL12_00054	2	3	3	2	12	49
CDL12_00055	0	5	24	8	7	5
CDL12_00056	85	6	17	262	4	24
CDL12_00057	0	0	0	0	0	2
CDL12_00058	284	152	270	119	154	39
CDL12_00059	1677	2559	2621	721	716	1082
CDL12_00060	934	784	1095	1774	2183	2212
CDL12_00061	1165	935	1549	1484	3428	2099
CDL12_00062	726	231	986	592	1644	588
CDL12_00063	51	20	13	6	46	22
CDL12_00064	7485	7756	5474	9158	31088	11078
CDL12_00065	2660	923	1526	2561	8433	2558
CDL12_00066	470	269	772	622	2408	525
CDL12_00067	313	193	338	263	698	372
CDL12_00068	4	4	18	0	3	17
CDL12_00069	28	38	15	199	130	491
CDL12_00070	6	11	66	8	6	58
CDL12_00071	80	94	63	219	153	201
CDL12_00072	185	68	225	142	282	441
CDL12_00073	0	14	308	6	2	154
CDL12_00074	488	398	355	422	1159	506
CDL12_00075	1704	1258	2258	2394	4619	1886
CDL12_00076	2373	833	2154	5782	13565	3679
CDL12_00077	16	6	16	0	4	2
CDL12_00078	439	562	518	553	1357	708
CDL12_00079	94	111	24	29	112	9
CDL12_00080	128	111	20	51	158	2
CDL12_00081	505	445	462	447	1115	670
CDL12_00082	2	0	0	4	0	28
CDL12_00083	353	361	544	923	1072	676
CDL12_00084	1394	859	1700	2414	7639	3172
CDL12_00085	256	353	660	266	696	459
CDL12_00086	2663	3165	5120	676	4522	1986
CDL12_00087	294	40	31	95	6121	1318
CDL12_00088	2692	2131	2522	2822	6379	4911
CDL12_00089	1132	591	974	405	1079	376
CDL12_00090	1	0	14	0	15	0
CDL12_00091	12	18	7	16	10	4
CDL12_00092	547	659	849	713	780	735
CDL12_00093	13	44	11	25	54	2
CDL12_00094	66	234	64	16	27	2
CDL12_00095	27	54	62	426	87	32
CDL12_00096	2	25	8	26	0	0
CDL12_00097	1161	1182	878	2831	6220	3131
CDL12_00098	49	83	26	406	224	1749
CDL12_00099	12	2	0	0	0	0
CDL12_00100	337	350	285	184	478	406
CDL12_00101	4	21	0	14	320	244
CDL12_00102	5	8	10	10	43	0
CDL12_00104	12	0	4	0	17	0
CDL12_00105	25	0	0	0	0	2
CDL12_00106	0	0	0	0	0	0
CDL12_00107	4107	2041	2589	28	336	38
CDL12_00108	855	610	715	186	1761	773
CDL12_00109	3	7	0	4	12	17
CDL12_00110	84	78	80	70	388	562
CDL12_00111	33	41	38	13	13	62
CDL12_00112	22	213	43	381	71	63
CDL12_00113	6	47	55	133	427	18
CDL12_00114	761	922	1105	2629	4324	1909
CDL12_00115	25	19	12	150	66	58
CDL12_00116	32	13	3	11	19	102
CDL12_00117	307	353	252	76	327	94
CDL12_00118	449	377	357	371	818	148
CDL12_00119	1061	1046	2956	132	2348	32
CDL12_00120	595	1192	594	1787	872	987
CDL12_00121	2123	2257	2858	3561	8729	3685
CDL12_00122	379	671	850	115	411	44
CDL12_00123	57	89	160	8	30	0
CDL12_00124	635	601	851	509	921	490
CDL12_00125	351	289	462	573	771	227
CDL12_00126	530	1324	1163	1427	1295	2921
CDL12_00127	447	391	398	343	622	123
CDL12_00128	345	558	961	442	897	323
CDL12_00129	38	17	51	15	80	28
CDL12_00130	252	245	406	162	748	353
CDL12_00131	2415	1486	1784	1688	2769	965
CDL12_00132	201	66	78	1026	157	43
CDL12_00133	0	68	34	0	0	40
CDL12_00134	0	1	0	0	0	2
CDL12_00135	3	21	21	28	57	0
CDL12_00136	18	14	20	23	15	5
CDL12_00137	8	24	18	29	11	14
CDL12_00138	6	14	1	62	3	4
CDL12_00139	31	26	451	40	367	133
CDL12_00140	265	173	259	112	278	173
CDL12_00141	0	0	0	4	0	1
CDL12_00142	0	0	0	0	0	0
CDL12_00143	467	157	192	456	483	129
CDL12_00144	0	0	0	0	0	0
CDL12_00145	200	33	96	149	114	57
CDL12_00146	44	89	61	45	45	46
CDL12_00147	1362	1641	1860	1902	2843	3133
CDL12_00148	0	0	0	0	0	0
CDL12_00149	7	16	16	6	14	9
CDL12_00150	521	577	1114	1794	2290	1346
CDL12_00151	2	2	0	2	2	48
CDL12_00152	78	34	4	14	37	1
CDL12_00153	276	481	692	1813	79	204
CDL12_00154	32	7	17	214	18	27
CDL12_00155	143	0	0	176	38	60
CDL12_00156	0	0	1	0	2	36
CDL12_00157	16	4	19	2	307	361
CDL12_00158	1	5	1	2	1	0
CDL12_00159	171	82	168	119	295	166
CDL12_00160	26	34	47	63	56	127
CDL12_00161	0	0	0	0	0	0
CDL12_00162	17	15	20	52	10	114
CDL12_00163	0	0	0	0	0	0
CDL12_00164	3478	6317	739	6176	217	1469
CDL12_00165	37	48	4	43	0	8
CDL12_00166	577	265	216	234	868	204
CDL12_00167	425	430	288	426	382	277
CDL12_00168	0	0	0	0	0	0
CDL12_00169	0	0	0	0	0	0
CDL12_00170	1714	4493	2609	3222	4033	1833
CDL12_00171	5210	8460	7116	7194	18128	6465
CDL12_00172	0	0	0	0	0	0
CDL12_00173	2317	6899	6933	4254	6811	4425
CDL12_00174	0	2	7	0	37	0
CDL12_00175	143	78	114	120	48	56
CDL12_00176	0	0	0	0	0	0
CDL12_00177	2442	1218	4376	1581	4368	3015
CDL12_00178	42	75	25	254	33	586
CDL12_00179	60	139	193	86	104	887
CDL12_00180	101	127	9	172	69	146
CDL12_00181	514	1607	2529	121	708	539
CDL12_00182	0	0	2	0	0	0
CDL12_00183	430	528	1054	467	950	988
CDL12_00184	11	2	0	0	0	2
CDL12_00185	251	231	171	210	160	164
CDL12_00186	325	859	1339	624	2444	433
CDL12_00187	154	200	328	132	399	229
CDL12_00188	179	511	671	880	702	1896
CDL12_00189	0	0	0	0	0	0
CDL12_00190	3	0	1	0	0	6
CDL12_00191	0	0	6	0	0	626
CDL12_00192	0	0	7	0	12	20
CDL12_00193	0	0	520	4	686	600
CDL12_00194	0	0	0	0	0	0
CDL12_00195	90	32	308	106	635	220
CDL12_00196	14	13	13	69	12	67
CDL12_00197	0	0	0	0	0	0
CDL12_00198	9	5	1	10	2	0
CDL12_00199	1604	82	1492	3956	3267	1251
CDL12_00200	534	770	147	1181	1236	1113
CDL12_00201	2127	153	574	34	172	16
CDL12_00202	8	5	2	0	0	0
CDL12_00203	716	14	17	550	2324	987
CDL12_00204	114	27	76	453	354	413
CDL12_00205	82	10	137	17	96	128
CDL12_00206	905	108	1312	2437	1226	622
CDL12_00207	0	0	0	0	0	0
CDL12_00208	306	313	399	241	515	189
CDL12_00209	374	102	48	469	37	2
CDL12_00210	353	96	97	609	140	48
CDL12_00211	342	91	188	204	422	30
CDL12_00212	0	0	0	0	0	0
CDL12_00213	0	0	0	0	0	0
CDL12_00214	0	0	0	0	0	0
CDL12_00215	0	0	0	0	0	0
CDL12_00216	0	13	10	0	2	0
CDL12_00217	6	78	272	2	12	0
CDL12_00218	0	0	0	0	0	0
CDL12_00219	0	253	299	0	368	218
CDL12_00220	0	2	14	0	4	4
CDL12_00221	0	321	483	0	630	408
CDL12_00222	0	209	120	0	94	145
CDL12_00223	0	170	851	0	522	0
CDL12_00224	0	6	0	0	0	0
CDL12_00225	0	2	36	0	0	0
CDL12_00226	0	165	752	0	263	27
CDL12_00227	0	10	27	0	0	282
CDL12_00228	0	0	0	0	0	0
CDL12_00229	0	13	21	0	2	4
CDL12_00230	0	14	20	1	157	47
CDL12_00231	0	0	0	0	0	0
CDL12_00232	0	4	42	0	64	2
CDL12_00233	1	7	0	4	15	16
CDL12_00234	37	974	155	247	418	1375
CDL12_00235	5	15	0	6	8	6
CDL12_00236	0	0	0	0	0	0
CDL12_00237	149	92	329	52	0	0
CDL12_00238	189	167	241	72	162	149
CDL12_00239	45	43	59	8	18	11
CDL12_00240	990	1051	1334	941	3285	1543
CDL12_00241	221	321	1458	969	791	687
CDL12_00242	39	128	328	652	529	17
CDL12_00243	3	8	0	0	4	0
CDL12_00244	0	0	0	0	0	0
CDL12_00245	0	0	0	0	0	0
